Date,Open,Close,High,Low,Volume
9/26/2024,5762.22,5745.47,5767.37,5721.01,1
9/25/2024,5733.65,5722.26,5741.03,5712.06,178562
9/24/2024,5727.66,5732.93,5735.32,5698.99,182050
9/23/2024,5711.9,5718.57,5725.36,5704.22,167785
9/20/2024,5709.64,5702.55,5715.14,5674.49,248770
9/19/2024,5702.63,5713.64,5733.57,5686.42,211429
9/18/2024,5641.68,5618.26,5689.75,5615.08,193744
9/17/2024,5655.51,5634.58,5670.81,5614.05,186167
9/16/2024,5615.21,5633.09,5636.05,5604.53,179901
9/13/2024,5603.34,5626.02,5636.27,5601.65,174349
9/12/2024,5557.48,5595.76,5600.71,5535.5,200961
9/11/2024,5496.42,5554.13,5560.41,5406.96,217160
9/10/2024,5490.51,5495.52,5497.91,5441.72,202556
9/9/2024,5442.07,5471.05,5484.2,5434.49,193392
9/6/2024,5507.33,5408.42,5522.47,5402.62,212749
9/5/2024,5520.08,5503.41,5546.3,5480.54,190780
9/4/2024,5506.68,5520.07,5552.99,5503.66,196180
9/3/2024,5623.89,5528.93,5623.89,5504.33,223891
8/30/2024,5612.74,5648.4,5651.37,5581.79,171828
8/29/2024,5607.3,5591.96,5646.95,5583.71,183941
8/28/2024,5624.51,5592.18,5627.03,5560.95,164193
8/27/2024,5602.89,5625.8,5631.18,5593.48,151129
8/26/2024,5639.66,5616.84,5651.62,5602.34,155412
8/23/2024,5602.49,5634.61,5641.82,5585.16,167434
8/22/2024,5637.77,5570.64,5643.22,5560.95,168974
8/21/2024,5603.09,5620.85,5632.68,5591.57,154942
8/20/2024,5602.88,5597.12,5620.51,5585.5,163237
8/19/2024,5557.23,5608.25,5608.3,5550.74,158943
8/16/2024,5530.5,5554.25,5561.98,5525.17,168311
8/15/2024,5501.13,5543.22,5546.23,5501.13,204864
8/14/2024,5442.36,5455.21,5463.22,5415.91,182043
8/13/2024,5376.98,5434.43,5436.5,5376.98,202188
8/12/2024,5351.88,5344.39,5371.2,5324.37,175322
8/9/2024,5314.66,5344.16,5358.67,5300.84,170582
8/8/2024,5252.57,5319.31,5328.03,5233.85,211299
8/7/2024,5293.13,5199.5,5330.64,5195.54,233333
8/6/2024,5206.42,5240.03,5312.34,5193.56,245198
8/5/2024,5151.14,5186.33,5250.89,5119.26,321849
8/2/2024,5376.63,5346.56,5383.89,5302.03,322340
8/1/2024,5537.84,5446.68,5566.16,5410.42,274137
7/31/2024,5505.59,5522.3,5551.51,5493.75,247515
7/30/2024,5478.73,5436.44,5489.46,5401.7,237837
7/29/2024,5476.55,5463.54,5487.74,5444.44,187080
7/26/2024,5433.67,5459.1,5488.32,5430.7,208822
7/25/2024,5428.7,5399.22,5491.59,5390.95,290954
7/24/2024,5505.84,5427.13,5508.04,5419.98,234039
7/23/2024,5565.3,5555.74,5585.34,5550.9,185784
7/22/2024,5544.54,5564.41,5570.36,5529.04,190888
7/19/2024,5543.37,5505,5557.5,5497.04,197969
7/18/2024,5608.56,5544.59,5614.05,5522.81,238397
7/17/2024,5610.07,5588.27,5622.49,5584.81,254607
7/16/2024,5644.09,5667.2,5669.67,5639.02,202927
7/15/2024,5638.16,5631.22,5666.94,5614.75,190264
7/12/2024,5590.76,5615.35,5655.56,5590.44,198195
7/11/2024,5635.21,5584.54,5642.45,5576.53,229139
7/10/2024,5591.26,5633.91,5635.39,5586.44,179419
7/9/2024,5584.24,5576.98,5590.75,5574.57,190287
7/8/2024,5572.75,5572.85,5583.11,5562.51,179883
7/5/2024,5537.91,5567.19,5570.33,5531.63,159603
7/3/2024,5507.44,5537.02,5539.27,5507.42,125874
7/2/2024,5461.84,5509.01,5509.69,5458.43,173091
7/1/2024,5471.08,5475.09,5479.55,5446.53,192221
6/28/2024,5488.48,5460.48,5523.64,5451.12,223143
6/27/2024,5473.59,5482.87,5490.81,5467.54,188293
6/26/2024,5460.71,5477.9,5483.14,5451.87,189705
6/25/2024,5460.73,5469.3,5472.88,5446.56,185819
6/24/2024,5459.58,5447.87,5490.66,5447.59,200520
6/21/2024,5466.77,5464.62,5478.31,5452.03,245509
6/20/2024,5499.99,5473.17,5505.53,5455.56,224791
6/18/2024,5476.15,5487.03,5490.38,5471.32,187305
6/17/2024,5431.11,5473.23,5488.5,5420.4,188755
6/14/2024,5424.08,5431.6,5432.39,5403.75,176735
6/13/2024,5441.93,5433.74,5441.93,5402.51,183938
6/12/2024,5409.13,5421.03,5447.25,5409.13,217950
6/11/2024,5353,5375.32,5375.95,5327.25,178280
6/10/2024,5341.22,5360.79,5365.79,5331.52,189917
6/7/2024,5343.81,5346.99,5375.08,5331.33,143393
6/6/2024,5357.8,5352.96,5362.35,5335.36,157107
6/5/2024,5314.48,5354.03,5354.16,5297.64,164846
6/4/2024,5278.24,5291.34,5298.8,5257.63,163466
6/3/2024,5297.15,5283.4,5302.11,5234.32,179569
5/31/2024,5243.21,5277.51,5280.33,5191.68,209491
5/30/2024,5259.77,5235.48,5260.21,5222.1,181361
5/29/2024,5278.73,5266.95,5282.27,5262.7,173279
5/28/2024,5315.91,5306.04,5315.91,5280.89,163558
5/24/2024,5281.45,5304.72,5311.65,5278.39,136039
5/23/2024,5340.26,5267.84,5341.88,5256.93,181354
5/22/2024,5319.28,5307.01,5323.18,5286.01,160525
5/21/2024,5298.69,5321.41,5324.32,5297.87,148717
5/20/2024,5305.35,5308.13,5325.32,5302.4,141582
5/17/2024,5303.1,5303.27,5305.45,5283.59,145851
5/16/2024,5310.07,5297.1,5325.49,5296.19,167318
5/15/2024,5263.26,5308.15,5311.76,5263.26,179455
5/14/2024,5221.1,5246.68,5250.37,5217.98,155620
5/13/2024,5233.08,5221.42,5237.26,5211.16,153393
5/10/2024,5225.49,5222.68,5239.66,5209.68,148709
5/9/2024,5189.03,5214.08,5215.3,5180.41,154909
5/8/2024,5168.98,5187.67,5191.95,5165.86,165440
5/7/2024,5187.2,5187.7,5200.23,5178.96,179285
5/6/2024,5142.42,5180.74,5181,5142.42,172104
5/3/2024,5122.78,5127.79,5139.12,5101.22,191211
5/2/2024,5049.32,5064.2,5073.21,5011.05,207396
5/1/2024,5029.03,5018.39,5096.12,5013.45,236205
4/30/2024,5103.78,5035.69,5110.83,5035.31,201275
4/29/2024,5114.13,5116.17,5123.49,5088.65,184990
4/26/2024,5084.65,5099.96,5114.62,5073.14,194436
4/25/2024,5019.88,5048.42,5057.75,4990.58,220703
4/24/2024,5084.86,5071.63,5089.48,5047.02,202252
4/23/2024,5028.85,5070.55,5076.12,5027.96,183175
4/22/2024,4987.33,5010.6,5038.84,4969.4,184997
4/19/2024,5005.44,4967.23,5019.02,4953.56,210027
4/18/2024,5031.52,5011.12,5056.66,5001.89,178318
4/17/2024,5068.97,5022.21,5077.96,5007.25,188191
4/16/2024,5064.59,5051.41,5079.84,5039.83,189151
4/15/2024,5149.67,5061.82,5168.43,5052.47,182036
4/12/2024,5171.51,5123.41,5175.03,5107.94,192909
4/11/2024,5172.95,5199.06,5211.78,5138.77,177924
4/10/2024,5167.88,5160.64,5178.43,5138.7,188845
4/9/2024,5217.03,5209.91,5224.81,5160.78,167167
4/8/2024,5211.37,5202.39,5219.57,5197.35,158636
4/5/2024,5158.95,5204.34,5222.18,5157.21,176435
4/4/2024,5244.05,5147.21,5256.59,5146.06,203286
4/3/2024,5194.37,5211.49,5228.75,5194.37,179956
4/2/2024,5204.29,5205.81,5208.34,5184.05,175828
4/1/2024,5257.97,5243.77,5263.95,5229.2,159249
3/28/2024,5248.03,5254.35,5264.85,5245.82,169922
3/27/2024,5226.31,5248.49,5249.26,5213.92,179745
3/26/2024,5228.85,5203.58,5235.16,5203.42,172491
3/25/2024,5219.52,5218.19,5229.09,5216.09,157799
3/22/2024,5242.48,5234.18,5246.09,5229.87,151373
3/21/2024,5253.43,5241.53,5261.1,5240.66,193494
3/20/2024,5181.69,5224.62,5226.19,5171.55,180303
3/19/2024,5139.09,5178.51,5180.31,5131.59,157431
3/18/2024,5154.77,5149.42,5175.6,5145.47,170775
3/15/2024,5123.31,5117.09,5136.86,5104.35,232555
3/14/2024,5175.14,5150.48,5176.85,5123.3,200280
3/13/2024,5173.49,5165.31,5179.14,5151.88,183223
3/12/2024,5134.3,5175.27,5179.87,5114.48,182399
3/11/2024,5111.96,5117.94,5124.66,5091.14,178253
3/8/2024,5164.46,5123.69,5189.26,5117.5,196956
3/7/2024,5132.38,5157.36,5165.62,5128.21,189063
3/6/2024,5108.03,5104.76,5127.97,5092.22,210362
3/5/2024,5110.52,5078.65,5114.54,5056.82,214849
3/4/2024,5130.99,5130.95,5149.67,5127.18,233703
3/1/2024,5098.51,5137.08,5140.33,5094.16,201509
2/29/2024,5085.36,5096.27,5104.99,5061.89,201167
2/28/2024,5067.2,5069.76,5077.37,5058.35,169818
2/27/2024,5074.6,5078.18,5080.69,5057.29,178578
2/26/2024,5093,5069.53,5097.66,5068.91,176703
2/23/2024,5100.92,5088.8,5111.06,5081.46,176442
2/22/2024,5038.83,5087.03,5094.39,5038.83,206602
2/21/2024,4963.03,4981.8,4983.21,4946,180257
2/20/2024,4989.32,4975.51,4993.71,4955.02,191936
2/16/2024,5031.13,5005.57,5038.7,4999.52,181122
2/15/2024,5003.14,5029.73,5032.72,4999.44,199887
2/14/2024,4976.44,5000.62,5002.52,4956.45,183297
2/13/2024,4967.94,4953.17,4971.3,4920.31,210096
2/12/2024,5026.83,5021.84,5048.39,5016.83,180643
2/9/2024,5004.17,5026.61,5030.06,5000.34,190504
2/8/2024,4995.16,4997.91,5000.4,4987.09,200170
2/7/2024,4973.05,4995.06,4999.89,4969.05,205664
2/6/2024,4950.16,4954.23,4957.77,4934.88,200996
2/5/2024,4957.19,4942.81,4957.19,4918.09,205419
2/2/2024,4916.06,4958.61,4975.29,4907.99,231471
2/1/2024,4861.11,4906.19,4906.97,4853.52,229539
1/31/2024,4899.19,4845.65,4906.75,4845.15,241133
1/30/2024,4925.89,4924.97,4931.09,4916.27,208835
1/29/2024,4892.95,4927.93,4929.31,4887.4,184258
1/26/2024,4888.91,4890.97,4906.69,4881.47,195028
1/25/2024,4886.66,4894.16,4898.15,4869.34,291057
1/24/2024,4888.56,4868.55,4903.68,4865.94,216956
1/23/2024,4856.8,4864.6,4866.48,4844.37,198460
1/22/2024,4853.42,4850.43,4868.41,4844.05,207458
1/19/2024,4796.28,4839.81,4842.07,4785.87,217954
1/18/2024,4760.1,4780.94,4785.79,4740.57,209178
1/17/2024,4739.13,4739.21,4744.23,4714.82,190774
1/16/2024,4772.35,4765.98,4782.34,4747.12,204061
1/12/2024,4791.18,4783.83,4802.4,4768.98,181357
1/11/2024,4792.13,4780.24,4798.5,4739.58,188386
1/10/2024,4759.94,4783.45,4790.8,4756.2,175116
1/9/2024,4741.93,4756.5,4765.47,4730.35,178750
1/8/2024,4703.7,4763.54,4764.54,4699.82,178419
1/5/2024,4690.57,4697.24,4721.49,4682.11,169596
1/4/2024,4697.42,4688.68,4726.78,4687.53,178563
1/3/2024,4725.07,4704.81,4729.29,4699.71,189913
1/2/2024,4745.2,4742.83,4754.33,4722.67,189151
12/29/2023,4782.88,4769.83,4788.43,4751.99,129878
12/28/2023,4786.44,4783.35,4793.3,4780.98,121203
12/27/2023,4773.45,4781.58,4785.39,4768.9,125508
12/26/2023,4758.86,4774.75,4784.72,4758.45,114923
12/22/2023,4753.92,4754.63,4772.94,4736.77,141435
12/21/2023,4724.29,4746.75,4748.71,4708.35,173231
12/20/2023,4764.73,4698.35,4778.01,4697.82,196166
12/19/2023,4743.72,4768.37,4768.69,4743.72,172831
12/18/2023,4725.58,4740.56,4749.52,4725.58,186652
12/15/2023,4714.23,4719.19,4725.53,4704.69,274793
12/14/2023,4721.04,4719.55,4738.57,4694.34,315350
12/13/2023,4646.2,4707.09,4709.69,4643.23,232584
12/12/2023,4618.3,4643.7,4643.93,4608.09,185797
12/11/2023,4593.39,4622.44,4623.71,4593.39,189181
12/8/2023,4576.2,4604.37,4609.23,4574.06,177153
12/7/2023,4568.84,4585.59,4590.92,4565.22,197186
12/6/2023,4586.23,4549.34,4590.74,4546.5,194968
12/5/2023,4557.25,4567.18,4578.56,4551.68,189311
12/4/2023,4564.37,4569.78,4572.37,4546.72,195358
12/1/2023,4559.43,4594.63,4599.39,4554.71,208161
11/30/2023,4554.87,4567.8,4569.89,4537.24,206831
11/29/2023,4571.84,4550.58,4587.64,4547.15,196969
11/28/2023,4545.55,4554.89,4568.14,4540.51,165296
11/27/2023,4554.86,4550.43,4560.52,4546.32,152412
11/24/2023,4555.84,4559.34,4560.31,4552.8,73685
11/22/2023,4553.04,4556.62,4568.43,4545.05,154627
11/21/2023,4538.77,4538.19,4542.14,4525.51,165452
11/20/2023,4511.7,4547.38,4557.11,4510.36,169146
11/17/2023,4509.55,4514.02,4520.12,4499.66,175981
11/16/2023,4497.08,4508.24,4511.99,4487.83,204901
11/15/2023,4505.3,4502.88,4521.17,4495.31,204153
11/14/2023,4458.97,4495.7,4508.67,4458.97,215896
11/13/2023,4406.66,4411.55,4421.76,4393.82,159194
11/10/2023,4364.15,4415.24,4418.03,4353.34,176380
11/9/2023,4391.41,4347.35,4393.4,4343.94,189621
11/8/2023,4384.37,4382.78,4391.2,4359.76,184000
11/7/2023,4366.21,4378.38,4386.26,4355.41,178528
11/6/2023,4364.27,4365.98,4372.21,4347.53,174920
11/3/2023,4334.23,4358.34,4373.62,4334.23,225090
11/2/2023,4268.26,4317.78,4319.72,4268.26,228526
11/1/2023,4201.27,4237.86,4245.64,4197.74,225211
10/31/2023,4171.33,4193.8,4195.55,4153.12,203251
10/30/2023,4139.39,4166.82,4177.47,4132.94,217580
10/27/2023,4152.93,4117.37,4156.7,4103.78,235702
10/26/2023,4175.99,4137.23,4183.6,4127.9,243950
10/25/2023,4232.42,4186.77,4232.42,4181.42,218505
10/24/2023,4235.79,4247.68,4259.38,4219.43,201765
10/23/2023,4210.4,4217.04,4255.84,4189.22,206539
10/20/2023,4273.85,4224.16,4276.56,4223.03,216783
10/19/2023,4321.36,4278,4339.54,4269.69,220437
10/18/2023,4357.35,4314.6,4364.2,4303.84,200158
10/17/2023,4345.23,4373.2,4393.57,4337.54,188642
10/16/2023,4342.37,4373.63,4383.33,4342.37,173048
10/13/2023,4360.49,4327.78,4377.1,4311.97,189719
10/12/2023,4380.94,4349.61,4385.85,4325.43,197680
10/11/2023,4366.59,4376.95,4378.64,4345.34,175078
10/10/2023,4339.75,4358.24,4385.46,4339.64,174054
10/9/2023,4289.02,4335.66,4341.73,4283.79,166511
10/6/2023,4234.79,4308.5,4324.1,4219.55,205058
10/5/2023,4259.31,4258.19,4267.13,4225.91,181826
10/4/2023,4233.83,4263.75,4268.5,4220.48,190328
10/3/2023,4269.75,4229.45,4281.15,4216.45,202778
10/2/2023,4284.52,4288.39,4300.58,4260.21,191840
9/29/2023,4328.18,4288.05,4333.15,4274.86,185165
9/28/2023,4269.65,4299.7,4317.27,4264.38,183391
9/27/2023,4282.63,4274.51,4292.07,4238.63,185469
9/26/2023,4312.88,4273.53,4313.01,4265.98,169244
9/25/2023,4310.62,4337.44,4338.51,4302.7,146865
9/22/2023,4341.74,4320.06,4357.4,4316.49,170709
9/21/2023,4374.36,4330,4375.7,4329.17,185334
9/20/2023,4452.81,4402.2,4461.03,4401.38,160222
9/19/2023,4445.41,4443.95,4449.85,4416.61,154052
9/18/2023,4445.13,4453.53,4466.36,4442.11,146327
9/15/2023,4497.98,4450.32,4497.98,4447.21,222757
9/14/2023,4487.78,4505.1,4511.99,4478.69,174723
9/13/2023,4462.65,4467.44,4479.39,4453.52,176158
9/12/2023,4473.27,4461.9,4487.11,4456.83,176712
9/11/2023,4480.98,4487.46,4490.77,4467.89,172463
9/8/2023,4451.3,4457.49,4473.53,4448.38,162009
9/7/2023,4434.55,4451.14,4457.81,4430.46,183096
9/6/2023,4490.35,4465.48,4490.35,4442.38,172974
9/5/2023,4510.06,4496.83,4514.29,4496.01,170141
9/1/2023,4530.6,4515.77,4541.25,4501.35,157719
8/31/2023,4517.01,4507.66,4532.26,4507.39,153576
8/30/2023,4500.34,4514.87,4521.65,4493.59,145036
8/29/2023,4432.75,4497.63,4500.14,4431.68,153558
8/28/2023,4426.03,4433.31,4439.56,4414.98,132512
8/25/2023,4389.38,4405.71,4418.46,4356.29,154876
8/24/2023,4455.16,4376.31,4458.3,4375.55,163766
8/23/2023,4396.44,4436.01,4443.18,4396.44,153029
8/22/2023,4415.33,4387.55,4418.59,4382.77,155599
8/21/2023,4380.28,4399.77,4407.55,4360.3,158626
8/18/2023,4344.88,4369.71,4381.82,4335.31,171851
8/17/2023,4416.32,4370.36,4421.17,4364.83,179667
8/16/2023,4433.79,4404.33,4449.95,4403.55,162250
8/15/2023,4478.87,4437.86,4478.87,4432.19,159130
8/14/2023,4458.13,4489.72,4490.33,4453.44,152441
8/11/2023,4450.69,4464.05,4476.23,4443.98,151132
8/10/2023,4487.16,4468.83,4527.37,4457.92,174949
8/9/2023,4501.57,4467.71,4502.44,4461.33,166797
8/8/2023,4498.03,4499.38,4503.31,4464.39,177363
8/7/2023,4491.58,4518.44,4519.84,4491.15,177531
8/4/2023,4513.96,4478.03,4540.34,4474.55,204936
8/3/2023,4494.27,4501.89,4519.49,4485.54,194079
8/2/2023,4550.93,4513.39,4550.93,4505.75,203135
8/1/2023,4578.83,4576.73,4584.62,4567.53,175708
7/31/2023,4584.82,4588.96,4594.22,4573.14,171727
7/28/2023,4565.75,4582.23,4590.16,4564.01,192439
7/27/2023,4598.26,4537.41,4607.07,4528.56,220769
7/26/2023,4558.96,4566.75,4582.47,4547.58,191744
7/25/2023,4555.19,4567.46,4580.62,4552.42,188318
7/24/2023,4543.39,4554.64,4563.41,4541.29,176504
7/21/2023,4550.16,4536.34,4555,4535.79,201761
7/20/2023,4554.38,4534.87,4564.74,4527.56,217783
7/19/2023,4563.87,4565.72,4578.43,4557.48,215706
7/18/2023,4521.78,4554.98,4562.3,4514.59,212795
7/17/2023,4508.86,4522.79,4532.85,4504.9,200060
