Date,AAPL News Sentiment Score,AAPL Twitter Sentiment Score,NVDA News Sentiment Score,NVDA Twitter Sentiment Score,MSFT News Sentiment Score,MSFT Twitter Sentiment Score,AMZN News Sentiment Score,AMZN Twitter Sentiment Score,GOOGL News Sentiment Score,GOOGL Twitter Sentiment Score,META News Sentiment Score,META Twitter Sentiment Score,TSLA News Sentiment Score,TSLA Twitter Sentiment Score,AVGO News Sentiment Score,AVGO Twitter Sentiment Score,COST News Sentiment Score,COST Twitter Sentiment Score,NFLX News Sentiment Score,NFLX Twitter Sentiment Score,TMUS News Sentiment Score,TMUS Twitter Sentiment Score,ASML News Sentiment Score,ASML Twitter Sentiment Score,CSCO News Sentiment Score,CSCO Twitter Sentiment Score,ADBE News Sentiment Score,ADBE Twitter Sentiment Score,PEP News Sentiment Score,PEP Twitter Sentiment Score,Weighted News Sentiment Score,Weighted Twitter Sentiment Score
2015-01-02,0.0040858018386108275,-0.16891133557800225,0.006018060216819181,0.029394250753099968,-0.0055762081784386614,0.0,0.01680672268907563,-0.29292929292929293,-0.00516795865633075,0.007874015748031496,0.0014367816091954023,0.004962779156327543,0.02877697841726619,0.013513513513513514,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.047619047619047616,0.0,0.017709166790638206,-0.00516795865633075,0.007874015748031496,0.0,0.03225806451612903,0.0,0.010782376191583353,0.003931078966053374,-0.04942753546898517
2015-01-05,0.02267739575713241,-0.10561609388097234,0.12337662337662338,0.029394250753099968,0.023255813953488372,-0.010169491525423728,0.0010764873834288153,0.19487179487179487,0.009237875288683603,0.0,0.02070750647109577,0.03035143769968051,0.045454545454545456,-0.02030456852791878,0.0,0.05,0.0,0.019324122479462285,0.0,-0.15789473684210525,0.0,0.047619047619047616,0.0,0.017709166790638206,0.009237875288683603,0.0,0.0,0.03225806451612903,0.09411764705882353,0.010782376191583353,0.035582580002817416,0.007653635511287659
2015-01-06,0.018311291963377416,-0.06835205992509363,0.006018060216819181,0.009433962264150943,0.043785310734463276,0.010517090271691499,0.08490566037735849,0.030501089324618737,0.006746626686656672,-0.07853982300884955,0.015568240788790867,0.013745704467353952,0.04924242424242424,-0.022123893805309734,0.0,0.0410958904109589,-0.06976744186046512,0.019324122479462285,0.029411764705882353,0.0,0.007936507936507936,0.047619047619047616,0.0,0.21052631578947367,0.006746626686656672,-0.07853982300884955,0.0625,0.03225806451612903,0.0392156862745098,0.5405405405405406,0.025765077547914374,-0.003189766811712207
2015-01-07,0.03698868581375109,0.005420528064346914,0.006018060216819181,0.029394250753099968,0.022040816326530613,-0.04533333333333334,0.05511811023622047,-0.20043103448275862,0.003236245954692557,0.019736842105263157,0.013401403956604978,0.014452027298273785,0.01276595744680851,0.06273062730627306,0.1485148514851485,-0.047619047619047616,-0.02631578947368421,0.35714285714285715,0.0,0.0,0.056179775280898875,0.047619047619047616,-0.024390243902439025,-0.038461538461538464,0.003236245954692557,0.019736842105263157,0.0,0.03225806451612903,0.0,0.09090909090909091,0.02499610172139167,-0.008784169575887237
2015-01-08,0.03954263935207242,0.036996735582154515,0.05660377358490566,0.0,0.03317535545023697,-0.01644736842105263,0.07669616519174041,-0.02033271719038817,-0.0049382716049382715,-0.050566037735849056,-0.013513513513513514,0.010184287099903006,0.05128205128205128,0.05092592592592592,0.0,0.16326530612244897,0.2222222222222222,0.48863636363636365,0.0,0.0,0.0,0.047619047619047616,0.02127659574468085,0.0,-0.0049382716049382715,-0.050566037735849056,0.0,0.03225806451612903,0.11180124223602485,0.09859154929577464,0.038550553521621816,0.018716233890538652
2015-01-09,0.05037683458944863,0.12679258481986708,0.006018060216819181,0.029394250753099968,0.026851098454027666,0.015856236786469344,0.0375,0.023952095808383235,-0.011863224005582694,0.06241331484049931,0.02108843537414966,0.014913007456503728,0.0898876404494382,0.007281553398058253,0.0,0.19318181818181818,0.1509433962264151,0.015625,0.0,0.0,0.0,0.047619047619047616,0.0,0.017709166790638206,-0.011863224005582694,0.06241331484049931,0.0,0.03225806451612903,0.02120141342756184,0.24390243902439024,0.02747659685543565,0.053774730115981155
2015-01-12,0.032171581769437,0.1912568306010929,0.006018060216819181,0.029394250753099968,0.03313253012048193,-0.0012787723785166241,0.025454545454545455,0.06642066420664207,0.002183406113537118,0.028187919463087248,-0.010309278350515464,0.009708737864077669,-0.022556390977443608,-0.06234413965087282,0.05555555555555555,0.05,-0.03125,0.019324122479462285,0.0,0.0,0.0,0.047619047619047616,0.0,-0.027777777777777776,0.002183406113537118,0.028187919463087248,0.0,0.03225806451612903,0.05405405405405406,0.010782376191583353,0.015192224044890118,0.050539291220162076
2015-01-13,0.036463536463536464,0.05289814293753517,0.022222222222222223,0.14705882352941177,0.03541781959048146,0.012256669069935111,0.09210526315789473,-0.04321728691476591,-0.0012004801920768306,-0.023588277340957826,0.005421686746987952,0.004780876494023904,-0.005128205128205128,-0.053064958828911254,0.034782608695652174,0.05,-0.1506849315068493,-0.43478260869565216,0.0,0.0,0.0,0.047619047619047616,0.10476190476190476,0.15517241379310345,-0.0012004801920768306,-0.023588277340957826,0.03125,0.03125,0.07317073170731707,0.075,0.026869141663318975,0.023211358524969722
2015-01-14,0.033051498847040735,-0.007825920977285742,0.0392156862745098,0.10526315789473684,0.025133689839572194,0.015,0.0749665327978581,0.03923076923076923,-0.011377245508982036,-0.051336898395721926,-0.004962779156327543,0.011800092549745489,-0.028985507246376812,-0.1723207401696222,0.04205607476635514,0.22900763358778625,0.06976744186046512,-0.02127659574468085,0.0,0.0,-0.014814814814814815,0.047619047619047616,0.14864864864864866,-0.03125,-0.011377245508982036,-0.051336898395721926,-0.07086614173228346,0.03225806451612903,0.0375,0.010782376191583353,0.02625648408874218,0.017520541249574577
2015-01-15,-0.0016359918200408998,-0.07164700742682394,0.006018060216819181,-0.1111111111111111,0.024074074074074074,-0.0050578034682080926,0.0,-0.0030864197530864196,-0.015020482476103778,-0.017833981841763942,0.00419639110365086,0.007579585649317837,-0.013201320132013201,-0.08970976253298153,0.0,0.05,-0.08695652173913043,-0.13043478260869565,0.0,0.0,-0.015151515151515152,0.047619047619047616,0.0,-0.21839080459770116,-0.015020482476103778,-0.017833981841763942,0.0449438202247191,0.03225806451612903,0.06722689075630252,0.010782376191583353,0.0015084299517115144,-0.04283865108232213
